,agreement,business,chicago,city,consultant,contract,contractor,date,department,may,mbe,must,name,order,required,section,services,shall,wbe,work,Contract Type
0,271,20,69,321,1,32,10,43,30,65,4,174,37,8,30,47,63,5,4,40,Delegate Agency
1,126,3,44,181,0,17,209,9,69,44,1,57,26,11,8,14,33,2,0,27,Delegate Agency
2,22,2,16,35,0,19,0,14,13,8,0,6,20,1,1,1,22,2,0,0,Delegate Agency
3,150,4,37,177,0,24,222,14,70,44,2,73,26,14,8,11,25,3,0,20,Delegate Agency
4,285,47,71,406,2,56,10,47,55,84,3,173,52,12,38,81,134,17,3,32,Delegate Agency
5,155,11,35,208,1,34,8,31,64,59,2,106,45,11,12,28,20,5,1,34,Delegate Agency
6,12,0,35,24,0,8,0,7,8,4,0,12,15,0,4,1,18,0,0,30,Delegate Agency
7,144,7,38,213,0,27,42,16,71,40,1,83,77,10,63,17,64,3,0,32,Delegate Agency
8,12,0,2,13,0,2,8,4,4,1,0,2,1,1,0,1,6,1,0,0,Delegate Agency
9,24,15,8,35,0,21,2,17,16,8,0,12,17,0,1,1,14,1,0,5,Delegate Agency
10,276,27,70,350,1,39,13,41,30,68,4,175,52,9,33,55,116,8,3,37,Delegate Agency
11,28,1,19,36,0,12,0,13,20,9,0,37,28,1,8,1,23,2,0,1,Delegate Agency
12,385,54,67,426,2,38,446,51,35,102,1,249,34,32,51,78,182,6,1,24,Delegate Agency
13,162,10,47,248,1,31,7,26,65,63,2,108,38,10,6,35,22,5,1,27,Delegate Agency
14,26,1,9,21,0,5,0,12,15,11,0,5,5,0,1,1,18,0,0,2,Delegate Agency
15,12,1,12,20,0,10,3,8,9,4,0,23,8,1,6,1,28,2,0,28,Delegate Agency
16,23,16,32,34,0,10,1,12,13,6,0,7,10,1,1,4,34,4,0,6,Delegate Agency
17,9,0,10,19,0,12,0,11,5,6,0,5,17,0,2,1,19,0,0,2,Delegate Agency
18,25,2,16,35,0,14,2,17,13,7,0,9,13,0,1,1,14,1,0,11,Delegate Agency
19,24,0,9,28,0,5,0,10,16,10,0,4,6,0,1,1,14,1,0,2,Delegate Agency
20,22,1,16,21,0,7,0,9,8,9,0,5,3,0,3,1,10,1,0,1,Delegate Agency
21,145,3,49,174,0,26,223,17,71,56,2,72,19,11,14,13,52,2,0,36,Delegate Agency
22,277,31,57,356,1,35,9,45,33,65,4,174,41,8,34,56,91,9,4,40,Delegate Agency
23,254,19,36,273,0,18,289,26,34,52,4,146,19,9,29,39,107,2,3,35,Delegate Agency
24,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Delegate Agency
25,6,1,4,7,0,1,1,4,4,0,0,1,4,0,0,1,3,0,0,3,Delegate Agency
26,2,0,4,8,0,19,4,6,36,1,0,3,23,9,0,0,15,0,0,0,Delegate Agency
27,23,6,11,40,0,19,1,16,21,7,0,10,16,0,0,1,20,1,0,15,Delegate Agency
28,258,24,34,273,0,22,292,26,33,51,5,146,17,9,31,40,115,1,5,41,Delegate Agency
29,23,0,13,35,0,21,1,11,20,7,0,10,15,1,1,1,16,1,0,12,Delegate Agency
30,24,0,8,37,0,23,0,13,27,7,0,4,23,5,0,0,23,1,0,2,Delegate Agency
31,157,49,147,319,2,73,42,43,122,64,2,133,85,19,18,34,94,7,1,39,Delegate Agency
32,22,13,9,32,0,16,2,18,12,5,0,13,19,0,2,2,14,1,0,5,Delegate Agency
33,32,0,42,47,0,19,0,12,43,10,0,17,28,0,11,1,51,0,0,31,Delegate Agency
34,154,10,27,216,0,24,42,15,65,42,2,83,20,9,19,17,80,3,1,21,Delegate Agency
35,24,0,6,24,0,3,0,6,19,9,0,5,7,1,1,1,14,1,0,2,Delegate Agency
36,174,32,28,299,1,48,5,28,84,66,1,89,44,13,24,47,77,9,0,26,Delegate Agency
37,50,3,19,69,0,16,2,9,13,10,0,19,19,7,5,29,9,15,0,1,Delegate Agency
38,9,0,30,17,0,15,0,10,24,4,0,19,25,0,12,3,49,0,0,22,Delegate Agency
39,146,5,23,196,0,16,227,12,74,44,2,68,19,11,11,14,36,2,0,31,Delegate Agency
40,23,0,27,45,0,14,0,7,62,7,0,17,19,2,1,1,59,1,0,3,Delegate Agency
41,263,57,43,312,0,53,11,26,102,102,1,156,20,37,71,73,274,41,1,47,Delegate Agency
42,273,19,24,349,0,38,7,27,83,77,0,118,17,28,40,46,120,28,0,28,Delegate Agency
43,160,5,52,270,1,44,8,33,67,61,1,105,48,12,7,33,39,7,0,32,Delegate Agency
44,28,1,25,29,0,10,0,9,16,6,0,20,24,2,9,2,21,4,0,5,Delegate Agency
45,180,31,24,307,3,48,5,27,89,68,1,119,35,15,32,47,87,9,1,31,Delegate Agency
46,196,55,53,331,1,51,7,38,77,72,0,115,42,16,35,48,111,9,0,31,Delegate Agency
47,278,21,30,357,0,42,8,32,89,91,2,134,29,28,50,54,130,62,2,37,Delegate Agency
48,28,2,36,20,0,3,1,21,29,11,0,13,25,2,3,19,39,10,0,14,Delegate Agency
49,29,1,16,25,0,10,0,13,31,15,0,8,7,14,6,4,73,1,0,4,Delegate Agency
50,280,17,22,316,0,27,8,30,38,65,4,153,14,13,19,45,97,12,5,24,Delegate Agency
51,24,0,11,37,0,18,1,11,35,11,0,12,19,1,0,1,25,1,0,13,Delegate Agency
52,207,16,26,262,0,33,4,17,69,60,0,79,14,15,26,42,112,15,1,18,Delegate Agency
53,7,1,10,23,0,9,0,6,7,2,0,9,13,2,4,1,18,0,0,19,Delegate Agency
54,20,0,15,27,0,12,1,12,27,14,0,26,12,2,5,4,61,3,0,1,Delegate Agency
55,244,15,21,292,3,22,97,21,60,67,1,67,11,12,23,57,93,81,1,24,Delegate Agency
56,64,114,15,120,0,8,0,16,36,26,0,44,13,2,20,25,74,20,0,5,Delegate Agency
57,14,0,21,19,0,12,0,13,14,12,0,12,21,2,3,3,24,2,0,7,Delegate Agency
58,2,0,4,5,0,18,4,5,9,1,0,1,2,2,0,0,10,0,0,0,Delegate Agency
59,11,0,16,34,0,18,0,13,14,4,0,6,26,6,3,1,19,0,0,3,Delegate Agency
60,7,1,10,20,0,4,0,8,6,5,0,6,8,0,2,1,17,0,0,18,Delegate Agency
61,25,0,18,40,0,19,2,19,19,6,0,11,19,1,1,1,24,6,0,5,Delegate Agency
62,22,1,11,22,0,5,0,9,10,10,0,5,7,0,2,1,11,1,0,1,Delegate Agency
63,23,10,8,28,0,17,2,15,13,5,0,5,17,0,1,1,13,1,0,3,Delegate Agency
64,201,21,22,269,0,51,6,22,77,69,0,89,22,16,29,44,128,31,0,17,Delegate Agency
65,8,0,11,17,2,11,1,15,12,7,0,8,16,1,3,1,14,0,0,6,Delegate Agency
66,31,4,15,41,0,11,0,12,28,6,0,16,23,1,2,1,51,1,0,19,Delegate Agency
67,10,0,11,12,0,7,0,5,7,0,0,5,9,0,0,1,6,0,0,2,Delegate Agency
68,39,1,8,31,0,15,0,23,25,8,0,15,24,0,1,4,23,0,0,2,Delegate Agency
69,22,0,9,30,0,11,4,5,8,7,0,27,9,1,1,1,26,1,0,21,Delegate Agency
70,95,5,28,85,0,3,84,12,12,20,0,12,13,5,10,34,34,18,0,20,Delegate Agency
71,26,1,5,25,0,7,0,11,16,10,0,6,7,0,1,1,20,0,0,2,Delegate Agency
72,26,8,8,33,0,17,2,17,11,6,0,14,23,2,4,2,14,1,0,3,Delegate Agency
73,22,0,11,32,0,10,0,7,19,9,0,11,15,1,1,1,21,1,0,9,Delegate Agency
74,268,14,58,210,1,89,7,39,86,82,2,154,30,9,12,42,32,14,2,14,Delegate Agency
75,179,16,75,301,1,57,7,31,134,93,2,155,88,17,17,39,128,5,1,68,Delegate Agency
76,28,0,11,29,0,15,0,15,28,19,0,11,18,0,9,5,80,4,0,9,Delegate Agency
77,138,3,29,190,0,22,33,14,62,41,2,83,15,10,5,16,27,3,1,20,Delegate Agency
78,185,54,41,307,1,46,7,30,71,69,0,119,43,16,32,44,73,8,0,31,Delegate Agency
79,236,20,32,277,0,62,194,45,76,106,2,320,22,20,37,41,215,30,2,36,Delegate Agency
80,175,20,23,265,0,33,5,26,75,57,1,98,17,14,26,31,91,10,1,33,Delegate Agency
81,19,0,4,22,0,5,0,9,9,6,0,7,12,0,2,0,10,1,0,1,Delegate Agency
82,110,1,33,104,2,50,5,13,57,56,2,71,44,8,2,17,6,7,1,8,Delegate Agency
83,7,0,2,7,0,7,8,5,8,0,0,4,11,2,0,0,5,0,0,6,Delegate Agency
84,10,0,7,14,0,5,0,5,9,0,0,6,13,0,0,0,9,0,0,2,Delegate Agency
85,226,37,61,365,1,71,7,47,278,85,1,171,36,23,44,80,181,32,1,36,Delegate Agency
86,30,0,36,39,0,18,0,14,20,7,0,5,23,2,5,1,45,0,0,2,Delegate Agency
87,129,48,71,223,1,43,139,30,78,43,0,131,54,13,16,38,87,5,0,33,Delegate Agency
88,32,0,34,37,0,10,0,12,42,9,0,21,24,0,10,1,49,0,0,25,Delegate Agency
89,25,1,14,43,0,21,0,5,30,11,0,36,24,3,10,2,37,1,0,11,Delegate Agency
90,206,25,38,286,0,44,32,29,133,91,1,146,20,27,43,54,217,29,1,51,Delegate Agency
91,156,22,15,182,0,22,214,17,82,58,1,50,6,12,17,21,159,73,0,15,Delegate Agency
92,25,2,6,40,0,2,3,5,5,9,0,4,3,0,7,19,16,10,0,0,Delegate Agency
93,201,32,44,336,4,62,7,30,91,68,0,100,55,15,25,52,83,9,0,30,Delegate Agency
94,26,0,24,28,0,6,0,10,9,7,0,4,8,1,1,0,15,2,0,1,Delegate Agency
95,32,0,33,38,0,12,0,11,41,10,0,18,20,0,10,1,49,0,0,24,Delegate Agency
96,199,16,23,261,0,26,4,25,68,62,0,83,13,15,25,39,119,14,0,21,Delegate Agency
97,32,0,24,35,0,11,0,15,40,9,0,19,20,0,10,1,45,0,0,23,Delegate Agency
98,38,9,19,21,0,5,3,6,15,25,0,49,3,3,23,14,151,1,0,22,Delegate Agency
99,20,1,7,22,0,7,0,10,9,10,0,5,5,0,5,1,12,1,0,1,Delegate Agency
100,20,0,26,24,0,5,0,9,10,9,0,4,8,1,1,1,12,1,0,2,Delegate Agency
101,23,1,18,34,0,8,0,17,15,6,0,10,14,0,3,1,27,1,0,6,Delegate Agency
102,30,0,16,35,0,18,0,10,21,7,0,12,26,0,1,1,30,0,0,2,Delegate Agency
103,24,0,36,36,0,8,0,12,15,15,0,27,14,0,4,1,28,1,0,44,Delegate Agency
104,175,7,49,183,0,45,346,24,66,74,2,165,25,32,14,81,35,17,0,47,Delegate Agency
105,7,1,15,19,0,5,0,12,9,2,0,7,7,0,3,1,11,0,0,7,Delegate Agency
106,231,15,27,275,0,30,5,23,81,66,0,106,20,20,29,36,111,17,0,30,Delegate Agency
107,27,1,15,33,0,13,0,11,20,10,0,38,31,1,8,1,20,2,0,1,Delegate Agency
108,149,10,36,219,0,24,43,13,69,43,2,82,16,9,19,17,83,2,1,25,Delegate Agency
109,22,12,9,38,0,24,1,13,19,6,0,6,15,0,2,1,20,1,0,15,Delegate Agency
110,195,15,39,281,1,31,5,28,85,66,0,123,29,16,38,38,127,9,0,63,Delegate Agency
111,24,1,19,28,0,4,0,11,8,10,0,4,4,0,2,0,11,2,0,1,Delegate Agency
112,269,34,62,344,5,51,5,58,72,87,0,146,53,26,41,57,223,34,0,54,Delegate Agency
113,3,0,31,15,0,21,5,6,28,0,0,10,36,7,15,1,19,0,0,3,Delegate Agency
114,0,0,1,0,0,0,0,2,1,0,0,1,2,1,0,0,1,0,0,0,Delegate Agency
115,151,8,85,243,0,39,275,31,63,49,2,84,18,12,15,24,118,8,2,11,Delegate Agency
116,26,1,12,36,0,15,0,11,19,11,0,50,30,1,11,1,27,2,0,3,Delegate Agency
117,11,1,3,6,0,4,6,5,5,1,0,3,5,1,0,1,3,0,0,3,Delegate Agency
118,9,0,3,5,0,3,7,9,10,0,0,2,11,5,1,1,9,5,0,0,Delegate Agency
119,22,1,19,22,0,7,0,11,21,10,0,18,19,0,11,1,40,1,0,14,Delegate Agency
120,7,0,18,19,0,5,0,10,12,7,0,6,11,0,4,1,14,0,0,3,Delegate Agency
121,4,0,12,7,0,7,18,3,7,4,0,1,4,2,0,0,9,0,0,2,Delegate Agency
122,29,1,15,31,0,3,0,11,4,7,0,20,8,0,8,2,14,4,0,4,Delegate Agency
123,212,39,36,355,1,67,5,39,267,85,1,162,39,23,41,80,180,34,1,29,Delegate Agency
124,26,0,8,39,0,23,1,15,29,8,0,14,17,0,1,1,35,1,0,16,Delegate Agency
125,26,1,16,26,0,13,0,12,25,24,0,20,11,0,6,6,66,5,0,6,Delegate Agency
126,24,0,13,31,0,12,0,15,20,10,0,11,22,0,8,2,41,1,0,15,Delegate Agency
127,25,0,29,39,0,15,0,12,24,9,0,11,19,0,2,1,18,0,0,7,Delegate Agency
128,24,4,18,26,0,10,1,13,20,14,0,37,11,3,11,6,84,6,0,3,Delegate Agency
129,22,0,18,33,0,13,1,14,18,15,0,20,15,3,5,4,58,3,0,1,Delegate Agency
130,28,1,19,37,0,11,0,13,20,9,0,49,31,1,11,1,27,2,0,3,Delegate Agency
131,29,1,21,46,0,22,14,15,23,16,0,8,23,0,4,1,25,1,0,6,Delegate Agency
132,27,1,18,32,0,13,0,11,18,10,0,37,25,1,7,1,24,2,0,1,Delegate Agency
133,148,26,13,225,0,27,4,17,70,53,0,70,13,13,16,30,62,6,0,24,Delegate Agency
134,25,0,8,38,0,20,1,12,30,6,0,12,15,0,0,1,18,1,0,16,Delegate Agency
135,21,1,10,20,0,3,1,11,8,5,0,4,4,0,1,1,9,1,0,2,Delegate Agency
136,2,0,4,7,0,19,5,5,8,1,0,3,1,2,0,0,8,0,0,0,Delegate Agency
137,23,1,9,21,0,9,0,10,17,17,0,18,7,0,4,8,68,5,0,3,Delegate Agency
138,327,32,33,337,0,26,8,30,43,68,3,155,19,16,36,46,139,14,2,45,Delegate Agency
139,161,18,37,258,1,32,6,27,70,57,2,106,40,9,13,36,23,4,1,33,Delegate Agency
140,16,0,19,15,1,12,0,19,14,6,0,3,24,3,2,1,36,1,0,6,Delegate Agency
141,186,15,26,267,0,39,5,31,97,57,2,102,28,14,30,36,99,16,1,34,Delegate Agency
142,7,0,24,26,0,15,1,10,24,10,0,29,19,2,6,5,63,5,0,4,Delegate Agency
143,38,4,19,26,0,16,1,20,26,21,0,38,18,3,13,8,99,6,0,3,Delegate Agency
144,24,0,8,25,0,4,0,8,17,9,0,4,11,0,1,1,12,1,0,2,Delegate Agency
145,28,9,19,12,0,6,4,3,14,26,0,41,3,4,21,13,149,1,0,18,Delegate Agency
146,268,35,35,284,1,43,8,35,43,78,3,174,37,12,6,47,43,10,2,44,Delegate Agency
147,8,5,18,17,0,15,1,13,12,3,0,1,12,0,0,2,4,0,0,2,Delegate Agency
148,147,10,38,222,0,25,43,19,68,42,2,86,23,10,19,18,65,7,1,36,Delegate Agency
149,23,1,23,30,0,14,0,16,21,9,0,20,20,0,13,2,45,1,0,17,Delegate Agency
150,275,21,29,305,0,57,8,28,125,98,1,105,21,27,48,65,223,41,1,38,Delegate Agency
151,24,1,32,24,0,14,0,14,25,7,0,19,22,0,10,2,46,1,0,19,Delegate Agency
152,32,2,35,26,0,10,3,18,25,14,0,13,7,0,8,1,21,11,0,7,Delegate Agency
153,7,1,19,18,0,4,0,14,9,3,0,6,11,0,3,1,13,0,0,6,Delegate Agency
154,17,0,28,30,0,10,1,8,24,5,0,6,33,1,12,1,27,0,0,17,Delegate Agency
155,30,1,15,31,0,5,0,12,12,5,0,20,20,1,8,2,24,4,0,5,Delegate Agency
156,30,0,15,31,0,9,0,12,14,9,0,4,20,2,3,0,58,0,0,4,Delegate Agency
157,289,25,26,316,0,27,8,32,38,66,1,150,16,12,31,45,134,14,1,27,Delegate Agency
158,4,1,3,5,0,12,5,1,3,0,0,1,0,1,0,1,3,0,0,0,Delegate Agency
159,20,1,12,31,0,8,0,12,20,6,0,11,18,0,3,1,21,1,0,17,Delegate Agency
160,148,3,24,194,0,18,224,10,71,43,2,65,15,12,11,13,43,2,0,27,Delegate Agency
161,193,53,49,345,1,55,6,34,82,67,1,124,56,16,34,46,127,9,1,29,Delegate Agency
162,29,1,9,31,0,7,0,12,14,6,0,4,14,0,2,1,26,0,0,4,Delegate Agency
163,10,0,20,19,0,6,0,9,9,2,0,9,17,0,4,1,10,0,0,30,Delegate Agency
164,28,3,13,30,0,5,0,11,5,12,0,20,8,0,9,2,14,4,0,4,Delegate Agency
165,25,0,19,46,0,16,0,13,30,8,0,23,28,2,7,2,38,0,0,17,Delegate Agency
166,24,0,7,27,0,5,0,7,16,7,0,4,7,1,1,1,13,1,0,1,Delegate Agency
167,29,1,13,35,0,10,0,9,19,9,0,36,29,1,8,1,23,2,0,1,Delegate Agency
168,27,43,37,107,1,28,20,25,16,19,0,38,39,5,9,20,29,8,0,4,Delegate Agency
169,296,31,23,263,0,30,9,29,36,71,0,153,27,11,30,51,121,12,2,19,Delegate Agency
170,291,70,49,376,1,51,11,53,38,71,0,186,45,13,24,54,76,11,0,52,Delegate Agency
171,26,0,29,48,0,26,0,11,32,8,0,20,25,1,6,2,17,0,0,10,Delegate Agency
172,145,9,35,105,2,40,6,27,61,52,1,99,34,10,2,13,4,5,1,11,Delegate Agency
173,27,4,14,26,0,11,1,16,28,14,0,38,17,3,11,6,79,5,0,7,Delegate Agency
174,20,1,3,22,0,5,1,8,7,11,0,5,5,0,3,1,9,1,0,1,Delegate Agency
175,27,1,40,51,0,28,1,20,25,15,0,9,28,4,10,1,34,0,0,4,Delegate Agency
176,23,1,9,21,0,3,0,11,9,5,0,4,4,0,1,1,10,1,0,1,Delegate Agency
177,8,0,12,21,0,9,0,12,15,2,0,9,20,1,1,1,21,0,0,4,Delegate Agency
178,21,1,7,22,0,5,1,10,7,10,0,5,5,0,3,1,9,1,0,1,Delegate Agency
179,11,0,37,27,0,7,0,7,10,5,0,13,18,0,4,1,13,0,0,30,Delegate Agency
180,25,1,29,27,0,16,0,13,27,7,0,18,24,0,11,2,51,1,0,21,Delegate Agency
181,28,1,19,26,0,14,0,13,29,13,0,9,12,13,4,9,77,1,0,3,Delegate Agency
182,146,35,20,228,0,26,37,20,42,42,1,74,24,9,17,17,71,2,0,33,Delegate Agency
183,24,1,7,23,0,6,0,11,7,10,0,5,5,0,2,1,9,1,0,1,Delegate Agency
184,28,0,16,31,0,19,1,13,33,15,0,32,18,2,6,5,64,2,0,7,Delegate Agency
185,210,38,46,359,1,91,8,46,278,84,0,155,54,23,37,82,173,31,0,28,Delegate Agency
186,177,48,46,290,1,30,7,30,67,58,2,108,53,9,29,41,86,5,0,35,Delegate Agency
187,27,0,34,46,0,8,0,12,43,14,0,21,20,3,12,1,39,2,0,41,Delegate Agency
188,24,0,34,33,0,4,0,13,13,12,0,25,14,0,5,1,19,1,0,39,Delegate Agency
189,57,91,13,111,0,22,0,14,26,16,0,28,18,4,12,17,16,16,0,3,Delegate Agency
190,29,1,16,29,0,8,0,9,20,6,0,14,21,0,3,2,23,0,0,6,Delegate Agency
191,24,1,20,19,0,8,2,7,6,10,0,13,6,5,7,8,11,3,0,3,Delegate Agency
192,10,1,10,10,0,5,1,8,4,7,0,3,6,0,3,1,16,1,0,2,Delegate Agency
193,103,3,16,95,0,19,2,24,29,21,0,41,24,9,18,26,71,14,0,15,Delegate Agency
194,68,1,14,51,0,8,6,19,22,11,0,32,11,9,16,35,32,12,0,9,Delegate Agency
195,39,0,19,61,1,25,2,11,21,4,0,3,25,7,1,12,31,4,0,1,Delegate Agency
196,28,1,14,32,0,3,0,7,4,7,0,20,6,0,8,2,14,4,0,4,Delegate Agency
197,20,2,9,41,0,18,1,9,20,5,0,12,21,1,1,1,21,1,0,9,Delegate Agency
198,141,4,32,123,0,24,213,15,66,49,1,78,18,12,5,7,31,2,0,26,Delegate Agency
199,28,1,16,24,0,8,0,11,32,9,0,7,10,3,6,6,66,1,0,3,Delegate Agency
200,23,1,17,31,0,8,0,17,13,7,0,6,11,0,3,1,16,1,0,6,Delegate Agency
201,38,1,12,32,0,12,0,20,18,13,0,8,17,1,3,4,40,0,0,2,Delegate Agency
202,163,36,95,300,1,61,8,39,105,76,2,128,133,25,85,43,105,9,1,55,Delegate Agency
203,168,13,30,257,0,36,5,24,80,53,1,95,25,14,29,32,93,10,1,35,Delegate Agency
204,13,3,16,11,0,6,6,6,13,8,0,23,10,1,15,3,54,2,0,21,Delegate Agency
205,224,49,30,387,1,46,12,41,94,100,0,133,27,37,36,74,196,30,0,36,Delegate Agency
206,158,4,32,195,1,50,6,34,74,66,1,110,48,15,18,27,23,10,1,28,Delegate Agency
207,142,3,35,163,0,25,222,15,65,52,2,73,21,14,5,11,21,3,0,33,Delegate Agency
208,155,24,47,278,1,35,8,28,67,58,1,101,44,12,11,33,21,5,1,33,Delegate Agency
209,149,34,36,240,1,55,266,19,64,54,2,79,63,18,18,20,8,25,0,42,Delegate Agency
210,190,77,59,327,1,51,7,35,85,77,0,127,55,16,34,50,84,15,0,59,Delegate Agency
211,29,1,18,27,0,12,0,11,22,15,0,21,12,1,4,6,73,6,0,5,Delegate Agency
212,19,0,5,28,0,5,1,5,11,3,0,5,11,3,1,2,16,0,0,0,Delegate Agency
213,21,17,9,35,0,17,1,11,18,6,0,8,17,0,0,1,20,1,0,17,Delegate Agency
214,23,0,36,34,0,10,0,13,14,13,0,26,15,0,5,1,21,1,0,39,Delegate Agency
215,161,19,43,250,1,32,7,25,71,65,2,112,50,10,11,40,21,5,0,30,Delegate Agency
216,25,12,15,38,0,24,2,16,19,7,1,8,18,0,4,1,25,1,0,12,Delegate Agency
217,22,1,13,36,0,15,0,9,20,6,0,4,17,0,0,1,21,1,0,2,Delegate Agency
218,264,59,47,298,0,45,10,27,99,104,1,153,12,36,72,73,284,41,1,50,Delegate Agency
219,35,0,13,41,0,10,0,9,3,4,0,3,4,7,1,12,18,6,0,0,Delegate Agency
220,25,0,15,38,0,14,0,10,32,9,0,19,24,0,14,3,51,0,0,22,Delegate Agency
221,23,21,9,33,0,17,2,14,18,7,0,15,15,0,1,1,13,1,0,11,Delegate Agency
222,27,1,25,28,2,5,0,23,26,8,0,8,27,0,3,1,42,0,0,11,Delegate Agency
223,29,0,18,31,2,15,0,22,18,9,0,8,21,2,2,1,48,0,0,9,Delegate Agency
224,28,1,17,37,0,12,0,12,19,10,0,36,24,1,8,1,17,2,0,1,Delegate Agency
225,300,19,60,338,0,32,8,33,37,71,1,168,17,16,48,45,144,27,0,46,Delegate Agency
226,5,0,8,14,0,14,1,8,14,0,0,2,26,6,0,1,22,0,0,0,Delegate Agency
227,21,0,6,19,0,11,1,10,8,10,0,5,7,1,1,1,11,1,0,4,Delegate Agency
228,7,4,16,14,1,4,0,8,7,3,0,12,7,0,2,1,20,0,0,16,Delegate Agency
229,278,32,30,310,1,41,9,40,44,72,2,143,32,10,32,59,135,13,1,35,Delegate Agency
230,278,35,63,357,1,39,9,44,34,67,4,173,48,10,34,53,119,7,4,35,Delegate Agency
231,21,1,48,34,0,9,4,14,16,13,0,29,8,3,8,2,38,14,0,46,Delegate Agency
232,26,0,16,34,0,13,2,12,33,17,0,24,16,3,5,5,70,3,0,2,Delegate Agency
233,10,0,23,17,0,8,0,5,9,3,0,10,16,0,4,1,22,0,0,29,Delegate Agency
234,172,32,61,351,1,81,9,29,74,69,2,99,60,13,17,48,67,12,2,12,Delegate Agency
235,24,0,5,27,0,6,0,6,17,7,0,4,5,1,1,1,12,1,0,2,Delegate Agency
236,23,0,13,38,0,14,0,11,28,13,0,17,18,0,8,2,12,1,0,10,Delegate Agency
237,42,109,38,82,0,15,40,11,36,20,0,29,11,1,23,8,27,16,0,6,Delegate Agency
238,24,0,6,31,0,5,0,8,17,8,0,5,7,1,1,1,15,1,0,2,Delegate Agency
239,27,1,9,30,1,10,0,12,19,7,0,6,23,3,2,1,24,1,0,2,Delegate Agency
240,209,141,78,339,1,64,8,38,101,105,0,162,43,25,52,73,286,27,0,50,Delegate Agency
241,40,1,21,47,0,23,0,28,32,10,0,15,47,4,9,4,23,0,0,2,Delegate Agency
242,30,0,20,29,0,12,0,15,23,12,0,16,22,2,3,1,33,0,0,1,Delegate Agency
243,28,1,9,39,0,19,2,17,31,7,0,20,15,0,6,2,32,0,0,14,Delegate Agency
244,24,1,15,41,0,10,0,9,32,8,0,14,21,1,1,1,23,1,0,10,Delegate Agency
245,27,1,12,24,0,6,3,13,13,12,0,14,17,0,3,3,19,1,0,37,Delegate Agency
246,298,35,45,360,1,44,15,38,48,73,3,163,32,14,41,64,124,11,2,19,Delegate Agency
247,177,35,29,267,0,34,4,24,78,56,1,97,17,14,28,31,94,11,1,33,Delegate Agency
248,257,27,32,284,0,45,15,26,93,98,0,115,15,27,60,76,148,45,0,51,Delegate Agency
249,32,0,32,35,0,5,0,13,23,7,0,11,18,0,3,1,27,0,0,19,Delegate Agency
250,25,0,7,27,0,10,0,13,20,8,0,7,10,0,1,1,21,0,0,2,Delegate Agency
251,268,15,37,331,0,36,157,30,42,75,4,272,11,17,44,46,146,18,4,60,Delegate Agency
252,232,61,57,357,1,87,426,57,65,90,2,212,52,37,46,117,134,8,1,102,Delegate Agency
253,25,1,14,25,0,4,0,9,7,5,0,4,6,0,1,1,11,2,0,1,Delegate Agency
254,13,0,26,31,1,35,0,28,24,5,0,9,28,0,7,1,34,1,0,3,Delegate Agency
255,60,114,23,138,0,20,0,15,39,26,0,44,25,2,20,24,74,20,0,5,Delegate Agency
256,9,0,17,21,1,9,0,9,8,2,0,10,19,0,3,1,15,0,0,30,Delegate Agency
257,399,52,71,429,2,43,464,53,33,102,1,260,39,31,53,77,189,7,1,28,Delegate Agency
258,10,0,7,11,0,2,0,3,3,0,0,1,5,0,2,1,5,0,0,0,Delegate Agency
259,25,3,14,37,0,8,1,14,14,12,0,14,7,0,1,3,34,9,0,1,Delegate Agency
260,6,1,11,11,0,5,0,8,5,6,0,2,5,0,2,1,4,1,0,2,Delegate Agency
261,75,3,10,78,0,18,1,10,25,19,0,20,11,5,10,25,28,9,0,5,Delegate Agency
262,27,2,11,26,0,14,0,10,23,25,0,20,8,0,5,5,67,5,0,4,Delegate Agency
263,42,110,19,82,0,13,1,10,13,20,0,37,9,1,17,7,33,20,0,2,Delegate Agency
264,212,46,70,345,1,50,332,45,58,71,1,144,49,17,21,36,115,5,1,31,Delegate Agency
265,25,0,27,26,1,21,0,26,17,5,0,6,23,0,6,1,33,0,0,8,Delegate Agency
266,106,3,13,90,0,12,1,17,24,23,0,42,18,7,18,26,68,16,0,15,Delegate Agency
267,8,1,20,15,0,14,0,8,19,4,0,8,10,0,9,3,37,0,0,22,Delegate Agency
268,26,8,10,29,0,16,2,18,12,5,0,7,25,2,3,2,12,1,0,3,Delegate Agency
269,33,4,19,25,0,11,1,16,20,15,0,36,15,3,11,7,79,6,0,2,Delegate Agency
270,242,16,24,253,0,22,7,22,33,55,4,103,10,12,24,36,93,9,3,12,Delegate Agency
271,151,13,12,228,0,28,4,20,72,54,1,70,13,14,22,29,82,10,1,20,Delegate Agency
272,28,0,12,46,0,10,0,12,42,7,0,20,21,0,6,2,47,0,0,18,Delegate Agency
273,22,0,21,39,0,20,1,13,21,14,0,21,23,2,5,5,48,3,0,0,Delegate Agency
274,8,0,12,20,0,10,0,9,12,5,0,7,15,0,6,1,10,0,0,13,Delegate Agency
275,159,35,56,299,1,40,227,33,63,56,0,112,36,9,17,32,39,22,0,17,Delegate Agency
276,30,0,4,18,0,1,1,9,9,6,0,5,7,0,0,1,11,0,0,3,Delegate Agency
277,2,0,1,5,0,11,4,1,2,0,0,1,0,2,0,1,2,0,0,0,Delegate Agency
